,word,freq,meaning
0,de,8435682,of
1,je,8308698,is
2,est,6942248,East
3,pas,5833676,not
4,le,5305591,the
5,que,5083052,what
6,la,4825603,the
7,vous,4500162,YOU
8,tu,4434920,that
9,un,4360896,and
10,c',4184576,c'
11,à,4119959,has
12,et,4110855,And
13,il,4025241,The
14,a,3679682,a
15,l',3675406,l'
16,ne,3343288,it is
17,les,3046663,THE
18,j',2981242,j'
19,en,2925411,in
20,on,2756346,on
21,ça,2742676,That
22,une,2717481,a
23,d',2603041,d'
24,ce,2533544,This
25,qu',2520219,that
26,pour,2475533,For
27,ai,2437065,it
28,n',2300252,n'
29,des,1902327,of the
30,qui,1665879,Who
31,mais,1641141,more
32,dans,1508883,In
33,nous,1504467,We
34,elle,1476885,She
35,me,1446772,me
36,bien,1438129,GOOD
37,si,1409401,and
38,du,1337227,of
39,y,1320695,and
40,suis,1303070,am
41,non,1290498,non
42,t',1257857,t'
43,avec,1256800,with
44,tout,1243107,All
45,plus,1214520,plus
46,mon,1195613,My
47,m',1141238,m'
48,te,1127735,the
49,au,1109359,At
50,fait,1054966,do
51,moi,1048758,moi
52,s',1037629,s'
53,oui,1001703,Yes
54,va,989526,and
55,était,985841,was
56,as,974673,as
57,faire,966573,TO DO
58,ils,945659,they
59,sur,939169,on
60,quoi,894291,What
61,se,867737,with
62,comme,864987,as
63,sais,851748,know
64,être,743252,be
65,veux,738917,want
66,ici,725494,here
67,ma,716527,and
68,toi,707904,You
69,est-ce,707256,is it
70,dit,701414,it
71,lui,689708,his
72,votre,677006,your
73,es,662531,is
74,pourquoi,657070,Why
75,où,643564,Or
76,là,643024,To be
77,rien,638070,Nothing
78,cette,626319,this
79,sont,609102,are
80,quand,598113,When
81,peux,594578,can
82,dire,586553,say
83,son,585229,son
84,avez,552796,have
85,vais,542593,go
86,alors,542173,SO
87,ton,540446,ton
88,comment,528569,comment
89,par,519463,about
90,ou,497358,or
91,chose,490339,chose
92,bon,483364,right
93,ont,471659,have
94,merci,471415,THANKS
95,juste,465932,just
96,très,462324,very
97,jamais,436873,Never
98,été,432574,summer
99,aussi,427827,Also
100,avoir,427178,to have
101,vraiment,423339,Really
102,voir,419803,see
103,même,411247,even
104,sa,408233,on
105,oh,408070,oh
106,maintenant,402585,NOW
107,tous,399645,all
108,peut,393199,can
109,deux,388269,two
110,ces,388071,these
111,êtes,376665,are
112,allez,374660,Go on
113,ta,373455,facing
114,autre,370961,other
115,peu,354756,little
116,temps,354330,time
117,quelque,353553,some
118,fais,353373,do 
119,toujours,345760,always
120,encore,342386,Again
121,notre,339810,OUR
122,mes,332672,We
123,besoin,329446,need
124,avait,320073,had
125,accord,315183,accord
126,faut,313023,must
127,dois,310780,two
128,vie,310140,life
129,peut-être,306785,maybe
130,aller,303502,go
131,fois,297685,times
132,vu,290541,of
133,donc,281973,SO
134,sans,281163,without
135,monde,277005,world
136,étais,276408,is
137,parce,273723,because
138,avant,272706,Before
139,sûr,271047,on
140,trop,265575,too much
141,quelqu',265286,someone
142,parler,262709,talk
143,personne,260005,person
144,avais,257602,had
145,père,257456,father
146,crois,251561,believe
147,après,250383,After
148,aux,244896,to
149,dieu,242078,God
150,ouais,241407,Yeah
151,ses,240780,his
152,pense,240390,think
153,eu,238206,eu
154,aime,237696,love
155,leur,236536,their
156,homme,236357,man
157,viens,233234,single
158,vrai,233001,TRUE
159,femme,232974,women
160,ok,228115,ok
161,doit,227951,must
162,veut,227166,wanna
163,ans,225795,years
164,m.,223793,m.
165,mal,219886,just
166,chez,218436,at the house of
167,déjà,214718,Already
168,depuis,214022,Since
169,beaucoup,211787,a lot
170,vos,211081,your
171,bonne,209592,Good
172,mort,208796,dead
173,mieux,205274,better
174,vas,203968,your
175,mère,202937,mother
176,sera,202795,will be
177,dis,201949,dis
178,fille,201540,girl
179,tes,199689,pinch
180,gens,198558,people
181,quel,193928,that
182,vois,193613,see 
183,désolé,191841,Sorry
184,ca,189898,that
185,voilà,189677,There
186,avons,186788,have
187,petit,186600,little
188,maison,185035,House
189,soit,179962,either
190,cela,177397,that
191,autres,175480,others
192,toute,174066,all
193,soir,172574,evening
194,passé,172214,pass
195,prendre,170367,take
196,jour,170304,day
197,monsieur,164959,Sir
198,nos,164465,us
199,savoir,163428,know
200,choses,163193,things
201,salut,160990,Health
202,cet,160783,this
203,nom,160549,name
204,argent,159413,money
205,bonjour,156301,Good morning
206,nuit,155789,night
207,raison,153137,reason
208,moins,153102,less
209,arrive,152291,arrive
210,maman,151089,Mom
211,reste,150311,stay
212,moment,149622,moment
213,voulais,149394,wanted
214,seul,149265,alone
215,aider,148607,help
216,air,148370,air
217,entre,147420,in between
218,papa,146818,Boat
219,passe,144680,pass
220,aurais,143292,would have
221,problème,141208,issue
222,ah,140158,like
223,peur,139829,fear
224,regarde,138016,look at
225,voulez,137416,want
226,gars,136154,guys
227,trouvé,135198,find
228,fils,134600,son
229,attends,134144,attends
230,savez,133759,know
231,jusqu',133102,up to
232,trouver,132646,find
233,trois,132625,three
234,assez,132619,enough
235,famille,132352,family
236,dû,132063,of
237,eh,131788,Eh
238,toutes,131387,all
239,plaît,131162,jail
240,pourrait,130894,could
241,travail,130261,work
